Jenis_Kelamin,Tinggi_Badan,Berat_Badan,Lahir,Ukur,Umur_Bulan
FEMALE,75.8,8.5,1993-09-13,1995-09-06,24.0
MALE,146.0,43.1,1976-11-30,1995-06-21,223.0
MALE,148.0,49.4,1966-12-24,1995-06-21,342.0
FEMALE,89.4,13.3,1991-11-17,1995-06-21,43.0
MALE,71.5,9.6,1994-04-22,1995-06-21,14.0
MALE,148.6,54.0,1970-03-10,1995-06-20,303.0
MALE,72.5,10.0,1992-01-01,1995-06-20,41.0
MALE,150.7,48.5,1976-08-03,1995-06-20,226.0
MALE,147.9,49.4,1971-12-02,1995-06-20,282.0
FEMALE,100.0,15.2,1990-10-13,1995-06-20,56.0
FEMALE,81.0,10.7,1992-09-20,1995-06-20,33.0
FEMALE,140.4,46.7,1977-05-10,1995-06-20,217.0
MALE,70.0,8.0,1994-01-03,1995-06-20,17.0
MALE,146.0,46.7,1966-11-11,1995-06-16,343.0
MALE,98.8,16.8,1990-01-14,1995-06-16,65.0
FEMALE,85.7,11.9,1992-03-09,1995-06-16,39.0
MALE,68.5,8.1,1994-05-30,1995-05-16,12.0
MALE,143.3,60.3,1962-10-03,1995-06-16,392.0
FEMALE,84.1,12.2,1991-11-05,1995-06-16,43.0
MALE,73.1,9.0,1993-06-24,1995-06-16,24.0
FEMALE,55.5,5.3,1995-03-08,1995-06-16,3.0
FEMALE,152.8,53.1,1968-02-24,1995-06-19,328.0
FEMALE,86.8,11.8,1992-07-25,1995-06-19,35.0
MALE,147.3,43.1,1975-03-30,1995-06-20,243.0
MALE,86.9,12.2,1992-01-14,1995-06-20,41.0
MALE,68.4,7.1,1994-03-27,1995-06-20,15.0
MALE,157.4,52.6,1972-07-11,1995-06-19,275.0
MALE,95.6,15.8,1991-02-12,1995-06-19,52.0
MALE,72.2,8.9,1994-01-21,1995-06-19,17.0
MALE,147.2,45.5,1974-06-13,1995-06-15,252.0
FEMALE,99.2,16.5,1990-11-30,1995-06-15,55.0
MALE,73.3,8.8,1994-03-04,1995-06-15,15.0
FEMALE,157.5,54.9,1973-06-19,1995-06-20,264.0
MALE,999.0,453.1,,,
MALE,71.3,8.9,1994-08-10,1995-06-20,10.0
MALE,146.0,50.3,1976-11-12,1995-06-22,223.0
FEMALE,148.5,47.2,1972-09-20,1995-06-21,273.0
FEMALE,97.5,14.8,1991-08-28,1995-06-21,46.0
FEMALE,73.5,9.8,1994-03-21,1995-06-21,15.0
FEMALE,142.3,44.7,1965-09-24,1995-06-15,357.0
MALE,93.0,14.2,,1995-06-15,
FEMALE,82.1,10.9,1993-01-12,1995-06-15,29.0
MALE,65.3,7.4,1994-07-15,1995-06-15,11.0
MALE,150.8,48.1,1977-01-21,1995-06-21,221.0
FEMALE,158.3,57.2,1971-12-12,1995-06-15,282.0
FEMALE,151.0,79.8,1968-03-26,1995-06-20,327.0
FEMALE,104.9,16.8,1990-10-04,1995-06-20,56.0
FEMALE,86.5,12.2,1993-04-21,1995-06-20,26.0
FEMALE,58.0,6.9,1995-02-06,1995-06-20,4.0
FEMALE,143.0,41.7,1970-10-05,1995-06-22,296.0
FEMALE,87.7,11.5,1991-05-11,1995-06-22,49.0
FEMALE,75.1,9.1,1994-09-06,1995-06-22,9.0
MALE,151.6,46.3,1961-02-19,1995-06-15,412.0
FEMALE,74.0,10.4,1992-06-26,1995-06-15,36.0
FEMALE,146.8,56.2,1962-06-20,1995-06-15,396.0
MALE,97.5,15.7,1992-07-10,1995-06-15,35.0
FEMALE,142.0,42.2,1971-04-18,1995-06-15,290.0
MALE,96.5,14.7,1991-04-17,1995-06-14,50.0
MALE,72.8,8.9,1993-11-12,1995-06-14,19.0
FEMALE,141.1,40.8,1966-10-09,1995-06-16,344.0
MALE,100.5,15.4,1990-04-22,1995-06-16,62.0
MALE,87.3,11.5,1992-05-02,1995-06-16,37.0
MALE,150.4,62.6,1970-11-25,1995-06-15,295.0
MALE,143.5,42.6,1964-12-25,1995-06-13,366.0
FEMALE,144.1,52.2,1968-05-02,1995-06-14,325.0
MALE,143.0,42.2,1970-08-07,1995-06-13,298.0
FEMALE,147.9,71.2,1968-05-27,1995-06-21,325.0
MALE,87.8,12.2,1992-03-13,1995-06-21,39.0
MALE,71.6,8.2,1994-03-26,1995-06-21,15.0
MALE,147.3,44.0,1971-07-13,1995-06-19,287.0
MALE,145.6,50.3,1974-08-27,1995-06-19,250.0
FEMALE,151.9,54.4,1977-05-08,1995-06-13,217.0
FEMALE,148.0,44.5,1966-05-03,1995-06-15,349.0
MALE,78.8,10.2,1993-07-21,1995-06-15,23.0
MALE,145.2,47.6,,1995-06-13,
FEMALE,155.2,54.4,1973-06-24,1995-06-13,264.0
MALE,145.9,59.0,1964-05-01,1995-06-15,373.0
MALE,86.0,12.6,1992-09-24,1995-06-15,33.0
MALE,73.5,9.4,1994-02-24,1995-06-16,16.0
FEMALE,145.0,48.1,1965-05-15,1995-06-21,361.0
FEMALE,95.6,14.0,1990-05-26,1995-06-21,61.0
FEMALE,85.5,11.9,1993-03-17,1995-06-21,27.0
MALE,61.4,7.5,1994-11-26,1995-06-21,7.0
MALE,143.9,36.3,1971-09-16,1995-06-21,285.0
FEMALE,85.4,10.4,1992-04-15,1995-06-21,38.0
FEMALE,154.7,53.5,1968-06-04,1995-06-15,324.0
FEMALE,99.6,14.6,1991-11-27,1995-06-14,43.0
FEMALE,155.9,50.3,1969-11-21,1995-06-14,307.0
MALE,64.6,7.3,1994-12-05,1995-06-14,6.0
FEMALE,148.4,45.8,1964-07-23,1995-06-19,371.0
MALE,143.5,47.6,1970-03-24,1995-06-13,303.0
FEMALE,152.4,49.9,1971-08-03,1995-06-13,286.0
MALE,140.3,42.2,1967-05-11,1995-06-13,337.0
FEMALE,77.9,10.2,1993-10-22,1995-06-13,20.0
FEMALE,143.6,52.2,1964-02-23,1995-06-13,376.0
FEMALE,151.9,43.5,1965-10-18,1995-06-14,356.0
FEMALE,90.3,13.8,1991-06-15,1995-06-14,48.0
MALE,72.2,8.3,1993-10-25,1995-06-14,20.0
FEMALE,152.0,56.7,1974-05-10,1995-06-14,253.0
MALE,80.2,10.7,1993-03-07,1995-06-14,27.0
MALE,150.0,48.5,1963-09-25,1995-06-14,381.0
MALE,101.7,17.1,1990-09-18,1995-06-14,57.0
MALE,61.1,6.9,1995-02-18,1995-06-14,4.0
FEMALE,135.4,34.0,,1995-06-15,
MALE,146.7,49.9,1963-11-26,1995-06-15,379.0
MALE,146.9,49.4,1972-11-15,1995-06-21,271.0
MALE,72.2,9.4,1994-05-09,1995-06-21,13.0
FEMALE,146.4,55.3,1961-11-23,1995-07-19,404.0
FEMALE,104.5,17.8,1990-03-18,1995-07-19,64.0
FEMALE,89.5,13.1,1992-04-29,1995-07-19,39.0
FEMALE,148.5,49.9,1967-05-10,1995-07-19,338.0
MALE,95.0,14.1,1991-02-10,1995-07-19,53.0
MALE,71.5,9.2,1994-06-18,1995-07-19,13.0
FEMALE,146.0,49.0,1972-11-26,1995-07-19,272.0
MALE,145.0,49.0,1962-07-04,1995-07-20,396.0
